,,,,,,
,,,,,,
,,,,,,
,,,,,,
Semesterwoche,"Datum (Freitag, 10 Uhr c.t.)",Vortragende:r,Titel,Ort,Hybrid,Notiz
SW2,25.10.2024,,,,,Herbstferien
SW3,1.11.2024,,,,,Herbstferien
SW4,8.11.2024,,,,,
SW5,15.11.2024 (14:00 - 15:00),Katrin Schmelz (Sante Fe Institute),?,TU (Linus),,Nur virtuell und max 60 min
SW6,22.11.2024,,,,,
SW7,29.11.2024,,,,,
SW8,6.12.2024,,,,,
SW9,13.12.2024,,,,,
Weihnachtspause,,,,,,
SW11,10.1.2025,,,,,
SW12,17.1.2025,David Klenert,,TU (Linus),,
SW13,24.1.2025,,,,,
SW14,31.1.2025,,,,,
SW15,7.2.2025,Piero Basaglia,,RWI Berlin,yes,Winterferien 